state,disposition,count
AL,Closed by arrest,454
AL,Closed without arrest,64
AL,Open/No arrest,283
AZ,Closed by arrest,410
AZ,Closed without arrest,96
AZ,Open/No arrest,408
CA,Closed by arrest,3263
CA,Closed without arrest,168
CA,Open/No arrest,2857
CO,Closed by arrest,143
CO,Closed without arrest,46
CO,Open/No arrest,123
DC,Closed by arrest,756
DC,Closed without arrest,74
DC,Open/No arrest,515
FL,Closed by arrest,978
FL,Closed without arrest,212
FL,Open/No arrest,930
GA,Closed by arrest,731
GA,Closed without arrest,70
GA,Open/No arrest,418
IL,Closed by arrest,1462
IL,Closed without arrest,387
IL,Open/No arrest,3686
IN,Closed by arrest,728
IN,Closed without arrest,102
IN,Open/No arrest,492
KY,Closed by arrest,315
KY,Open/No arrest,261
LA,Closed by arrest,732
LA,Closed without arrest,114
LA,Open/No arrest,1012
MA,Closed by arrest,304
MA,Open/No arrest,310
MD,Closed by arrest,1002
MD,Closed without arrest,152
MD,Open/No arrest,1673
MI,Closed by arrest,1037
MI,Closed without arrest,16
MI,Open/No arrest,1466
MN,Closed by arrest,179
MN,Closed without arrest,31
MN,Open/No arrest,156
MO,Closed by arrest,1476
MO,Closed without arrest,76
MO,Open/No arrest,1315
NC,Closed by arrest,656
NC,Closed without arrest,55
NC,Open/No arrest,252
NE,Closed by arrest,240
NE,Closed without arrest,10
NE,Open/No arrest,159
NM,Closed by arrest,232
NM,Closed without arrest,52
NM,Open/No arrest,94
NV,Closed by arrest,809
NV,Closed without arrest,175
NV,Open/No arrest,397
NY,Closed by arrest,586
NY,Closed without arrest,25
NY,Open/No arrest,537
OH,Closed by arrest,894
OH,Closed without arrest,129
OH,Open/No arrest,755
OK,Closed by arrest,736
OK,Closed without arrest,66
OK,Open/No arrest,453
PA,Closed by arrest,1971
PA,Closed without arrest,92
PA,Open/No arrest,1605
TN,Closed by arrest,1520
TN,Closed without arrest,107
TN,Open/No arrest,654
TX,Closed by arrest,3032
TX,Closed without arrest,546
TX,Open/No arrest,2313
VA,Closed by arrest,316
VA,Closed without arrest,20
VA,Open/No arrest,93
wI,Closed by arrest,712
wI,Closed without arrest,37
wI,Open/No arrest,366
